id,sample,Run,shrew_zone,shrew_tran,mammal,Transect,Zone,Season,Sample_Plate,primer
Z_23,B_23,Bat,Bat,Bat,Bat,Bat,Bat,Bat,Bat,Zeale
Z_24,B_24,Bat,Bat,Bat,Bat,Bat,Bat,Bat,Bat,Zeale
Z_3,B_03,Bat,Bat,Bat,Bat,Bat,Bat,Bat,Bat,Zeale
Z_4,B_04,Bat,Bat,Bat,Bat,Bat,Bat,Bat,Bat,Zeale
Z_5,B_05,Bat,Bat,Bat,Bat,Bat,Bat,Bat,Bat,Zeale
Z_6,B_06,Bat,Bat,Bat,Bat,Bat,Bat,Bat,Bat,Zeale
Z_7,B_07,Bat,Bat,Bat,Bat,Bat,Bat,Bat,Bat,Zeale
Z_8,B_08,Bat,Bat,Bat,Bat,Bat,Bat,Bat,Bat,Zeale
Z_9,B_09,Bat,Bat,Bat,Bat,Bat,Bat,Bat,Bat,Zeale
Z_E26,E26,A,GWTS_Edge,GWTS_East,GWTS,East,Edge,Summer,B,Zeale
Z_E29,E29,A,Pygmy_Edge,Pygmy_East,Pygmy,East,Edge,Summer,B,Zeale
Z_E31,E31,A,Pygmy_Edge,Pygmy_East,Pygmy,East,Edge,Summer,B,Zeale
Z_E32,E32,A,Pygmy_Edge,Pygmy_East,Pygmy,East,Edge,Summer,B,Zeale
Z_E33,E33,A,GWTS_Edge,GWTS_East,GWTS,East,Edge,Summer,B,Zeale
Z_FR14,FR14,A,Pygmy_France,Pygmy_France,Pygmy,France,France,Summer,A,Zeale
Z_FR15,FR15,A,Pygmy_France,Pygmy_France,Pygmy,France,France,Summer,A,Zeale
Z_FR16,FR16,A,Pygmy_France,Pygmy_France,Pygmy,France,France,Summer,A,Zeale
Z_FR20,FR20,A,GWTS_France,GWTS_France,GWTS,France,France,Summer,A,Zeale
Z_FR21,FR21,A,GWTS_France,GWTS_France,GWTS,France,France,Summer,A,Zeale
Z_S19,S19,A,Pygmy_Outside,Pygmy_South,Pygmy,South,Outside,Summer,A,Zeale
Z_S21,S21,A,Pygmy_Outside,Pygmy_South,Pygmy,South,Outside,Summer,A,Zeale
Z_S50,S50,A,Pygmy_Edge,Pygmy_South,Pygmy,South,Edge,Winter,E,Zeale
Z_S51,S51,A,Pygmy_Edge,Pygmy_South,Pygmy,South,Edge,Winter,E,Zeale
Z_W13,W13,A,Pygmy_Outside,Pygmy_West,Pygmy,West,Outside,Summer,A,Zeale
